ID,PCIduration.ordinal,offCameras.ordinal,babyATparentface.ordinal,babyobj.obj1,babyobj.obj2,babyobj.obj3,parentactions.action
ADDS_056,1,1,1,1,1,1,1
ADDS_060,1,1,1,1,1,1,1
ADDS_065,1,1,1,1,1,1,1
ADDS_066,1,1,1,1,1,1,1
ADDS_073,1,1,1,1,1,1,1
ADDS_075,1,1,1,1,1,1,1
ADDS_084,1,1,1,1,1,1,1
ADDS_090,1,1,1,1,1,1,1
ADDS_095,1,1,1,1,1,1,1
ADDS_103,1,1,1,1,1,1,1
ADDS_106,1,1,1,1,1,1,1
ADDS_114,1,1,1,1,1,1,1
ADDS_118,1,1,1,1,1,1,1
ADDS_NT068,1,1,1,1,1,1,1
ADDS_NT071,1,1,1,1,1,1,1
ADDS_NT072,1,1,1,1,1,1,1
ADDS_NT078,1,1,1,1,1,1,1
ADDS_NT081,1,1,1,1,1,1,1
ADDS_NT082,1,1,1,1,1,1,1
ADDS_NT085,1,1,1,1,1,1,1
